program_id,athlete_id,country,swim,t1,bike,t2,run,position,status,total_time,year,category
1829,5336,KAZ,1193,14,3492,14,1913,1,,6627,2004,Elite Men
1829,5810,AUS,1177,14,3508,17,1911,2,,6628,2004,Elite Men
1829,5637,USA,1186,16,3498,24,1911,3,,6634,2004,Elite Men
1829,5695,ESP,1183,19,3501,20,1913,4,,6634,2004,Elite Men
1829,5790,GBR,1188,16,3495,16,1935,5,,6648,2004,Elite Men
1829,5355,UKR,1185,14,3501,18,1960,6,,6677,2004,Elite Men
1829,5715,AUS,1182,14,3502,17,1982,7,,6696,2004,Elite Men
1829,5348,CAN,1180,14,3504,17,1989,8,,6704,2004,Elite Men
1829,5868,RSA,1189,16,3497,20,1993,9,,6714,2004,Elite Men
1829,5683,NZL,1191,18,3494,19,2004,10,,6724,2004,Elite Men
1829,5750,POL,1192,14,3495,17,2067,11,,6784,2004,Elite Men
1829,5829,JPN,1191,16,3492,16,2091,12,,6804,2004,Elite Men
1829,5655,JPN,1188,17,3495,19,2108,13,,6826,2004,Elite Men
1829,5687,USA,1186,18,3499,19,2154,14,,6874,2004,Elite Men
1829,5345,BER,1308,17,3504,21,2039,15,,6889,2004,Elite Men
1829,5742,JPN,1193,14,3494,21,2180,16,,6903,2004,Elite Men
1829,5629,CAN,1190,20,3495,18,2207,17,,6928,2004,Elite Men
1829,5331,UKR,1271,21,3538,27,2078,18,,6934,2004,Elite Men
1829,5307,AUS,1187,16,3499,18,2229,19,,6948,2004,Elite Men
1829,6555,KOR,1188,16,3502,24,2242,20,,6970,2004,Elite Men
1829,5743,JPN,1355,19,3627,20,2144,21,,7164,2004,Elite Men
1829,6544,KOR,1201,18,3614,23,2395,22,,7248,2004,Elite Men
1829,5904,UZB,1359,17,3625,21,2249,23,,7270,2004,Elite Men
1829,5901,UZB,1360,19,3621,20,2265,24,,7283,2004,Elite Men
1829,5860,CAN,1176,17,3511,20,2615,25,,7338,2004,Elite Men
1829,5902,UZB,1360,27,3733,21,2515,26,,7655,2004,Elite Men
1857,5308,NZL,1077,0,3677,0,1955,1,,6709,2003,Elite Men
1857,5297,NZL,1079,0,3679,0,1979,2,,6737,2003,Elite Men
1857,5688,USA,1075,0,3883,0,1921,3,,6879,2003,Elite Men
1857,5302,CAN,1083,0,3886,0,1925,4,,6893,2003,Elite Men
1857,5637,USA,1082,0,3868,0,1951,5,,6901,2003,Elite Men
1857,5334,EST,1073,0,3883,0,1958,6,,6912,2003,Elite Men
1857,5663,ITA,1085,0,3866,0,1969,7,,6919,2003,Elite Men
1857,5797,USA,1093,0,3863,0,1972,8,,6930,2003,Elite Men
1857,5703,USA,1086,0,3863,0,1985,9,,6933,2003,Elite Men
1857,5635,USA,1083,0,3875,0,1982,10,,6939,2003,Elite Men
1857,167061,USA,1082,0,3872,0,1996,11,,6949,2003,Elite Men
1857,5353,GBR,1089,0,3866,0,2004,12,,6960,2003,Elite Men
1857,5722,AUT,1084,0,3873,0,2015,13,,6972,2003,Elite Men
1857,80764,NZL,1077,0,3879,0,2029,14,,6985,2003,Elite Men
1857,5664,ITA,1081,0,3873,0,2056,15,,7010,2003,Elite Men
1857,5348,CAN,1077,0,3876,0,2078,16,,7031,2003,Elite Men
1857,5307,AUS,1108,0,3990,0,1996,17,,7093,2003,Elite Men
1857,5602,CAN,1086,0,3878,0,2146,18,,7110,2003,Elite Men
1857,5335,AUS,1118,0,3999,0,2020,19,,7139,2003,Elite Men
1857,5346,VEN,1087,0,4021,0,2037,20,,7144,2003,Elite Men
1857,5350,CZE,1081,0,3873,0,2201,21,,7153,2003,Elite Men
1857,5823,POR,1114,0,3996,0,2068,23,,7177,2003,Elite Men
1857,5652,BEL,1073,0,4034,0,2118,24,,7223,2003,Elite Men
1857,5828,SUI,1122,0,3985,0,2128,25,,7235,2003,Elite Men
1857,5810,AUS,1107,0,4006,0,2137,26,,7250,2003,Elite Men
1857,5629,CAN,1092,0,4032,0,2225,27,,7348,2003,Elite Men
1857,5731,CAN,1113,0,3998,0,2359,28,,7469,2003,Elite Men
1857,5945,CAN,1151,0,4121,0,2222,29,,7492,2003,Elite Men
1857,5690,CAN,1150,0,4181,0,2244,30,,7573,2003,Elite Men
1857,5745,CHI,1147,0,4183,0,2296,31,,7625,2003,Elite Men
1857,5838,CAN,1173,0,4176,0,2285,32,,7633,2003,Elite Men
1857,5865,CAN,1196,0,4144,0,2409,33,,7749,2003,Elite Men
1857,5914,ISR,1202,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5860,CAN,1100,0,4264,0,0,0,DNF,0,2003,Elite Men
1857,5626,BRA,1195,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5627,CZE,1083,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5699,SUI,1154,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5721,AUT,1126,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5748,BRA,1202,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5349,BRA,1126,0,0,0,0,0,DNF,0,2003,Elite Men
1857,5799,USA,1197,0,4069,0,0,0,DNF,0,2003,Elite Men
1857,5661,AUS,1052,0,3724,0,0,0,DNF,0,2003,Elite Men
1867,5298,AUS,1042,0,3476,0,1998,1,,6516,2003,Elite Men
1867,5715,AUS,1040,0,3467,0,2034,2,,6541,2003,Elite Men
1867,5323,DEN,1036,0,3475,0,2050,3,,6561,2003,Elite Men
1867,5304,BRA,1047,0,3466,0,2064,4,,6578,2003,Elite Men
1867,5336,KAZ,1051,0,3463,0,2068,5,,6583,2003,Elite Men
1867,5330,GBR,1050,0,3462,0,2086,6,,6598,2003,Elite Men
1867,5324,SUI,1065,0,3449,0,2093,7,,6607,2003,Elite Men
1867,5348,CAN,1038,0,3478,0,2110,8,,6627,2003,Elite Men
1867,5338,USA,1048,0,3466,0,2120,9,,6634,2003,Elite Men
1867,5303,JPN,1052,0,3463,0,2125,10,,6640,2003,Elite Men
1867,5802,USA,1036,0,3482,0,2127,11,,6644,2003,Elite Men
1867,5353,GBR,1040,0,3479,0,2128,12,,6647,2003,Elite Men
1867,5790,GBR,1037,0,3482,0,2129,13,,6648,2003,Elite Men
1867,5651,RUS,1038,0,3486,0,2125,14,,6649,2003,Elite Men
1867,5726,HUN,1071,0,3461,0,2122,15,,6653,2003,Elite Men
1867,5656,SWE,1051,0,3470,0,2141,16,,6662,2003,Elite Men
1867,5587,SUI,1052,0,3462,0,2167,17,,6681,2003,Elite Men
1867,28221,GER,1043,0,3478,0,2164,18,,6685,2003,Elite Men
1867,5664,ITA,1049,0,3466,0,2200,19,,6715,2003,Elite Men
1867,5655,JPN,1046,0,3482,0,2194,20,,6722,2003,Elite Men
1867,5769,AUT,1108,0,3413,0,2204,21,,6725,2003,Elite Men
1867,5632,HUN,1044,0,3479,0,2215,22,,6737,2003,Elite Men
1867,5820,JPN,1047,0,3466,0,2226,23,,6739,2003,Elite Men
1867,5701,GBR,1048,0,3476,0,2232,24,,6756,2003,Elite Men
1867,28488,NED,1044,0,3448,0,2272,25,,6764,2003,Elite Men
1867,5720,AUT,1097,0,3426,0,2242,26,,6765,2003,Elite Men
1867,5351,HKG,1073,0,3442,0,2255,27,,6770,2003,Elite Men
1867,5602,CAN,1046,0,3478,0,2250,28,,6774,2003,Elite Men
1867,5705,JPN,1072,0,3447,0,2262,29,,6781,2003,Elite Men
1867,80764,NZL,1036,0,3492,0,2255,30,,6784,2003,Elite Men
1867,5670,BRA,1062,0,3460,0,2272,31,,6794,2003,Elite Men
1867,5654,JPN,1039,0,3479,0,2280,32,,6799,2003,Elite Men
1867,17908,RUS,1064,0,3453,0,2292,33,,6808,2003,Elite Men
1867,5327,JPN,1032,0,3491,0,2299,34,,6824,2003,Elite Men
1867,5359,GBR,1039,0,3478,0,2314,35,,6830,2003,Elite Men
1867,5724,SUI,1075,0,3449,0,2321,36,,6845,2003,Elite Men
1867,5757,JPN,1057,0,3470,0,2331,37,,6858,2003,Elite Men
1867,5613,NZL,1065,0,3445,0,2356,38,,6867,2003,Elite Men
1867,5723,AUT,1070,0,3447,0,2354,39,,6871,2003,Elite Men
1867,10030,RUS,1045,0,3479,0,2354,40,,6878,2003,Elite Men
1867,5959,ISR,1054,0,3470,0,2355,41,,6879,2003,Elite Men
1867,5728,JPN,1031,0,3490,0,2391,42,,6912,2003,Elite Men
1867,5958,ISR,1056,0,3465,0,2398,43,,6919,2003,Elite Men
1867,5961,CAN,1066,0,3459,0,2446,44,,6970,2003,Elite Men
1867,51348,JPN,1026,0,3500,0,2461,45,,6987,2003,Elite Men
1867,5346,VEN,1060,0,3465,0,2519,46,,7043,2003,Elite Men
1867,5758,JPN,1121,0,3681,0,2252,47,,7054,2003,Elite Men
1867,5951,JPN,1108,0,3693,0,2356,48,,7158,2003,Elite Men
1867,5960,GER,1111,0,0,0,0,0,DNF,0,2003,Elite Men
1867,5355,UKR,1044,0,3472,0,0,0,DNF,0,2003,Elite Men
1867,5344,BRA,1040,0,0,0,0,0,DNF,0,2003,Elite Men
1867,13237,SUI,1122,0,0,0,0,0,DNF,0,2003,Elite Men
1833,5297,NZL,1011,0,3523,0,1978,1,,6512,2004,Elite Men
1833,5336,KAZ,1032,0,3501,0,1996,2,,6531,2004,Elite Men
1833,5600,GBR,1009,0,3532,0,2008,3,,6549,2004,Elite Men
1833,5330,GBR,1006,0,3531,0,2025,4,,6562,2004,Elite Men
1833,5298,AUS,1003,0,3532,0,2027,5,,6562,2004,Elite Men
1833,5303,JPN,1007,0,3529,0,2059,6,,6595,2004,Elite Men
1833,5310,SUI,1028,0,3511,0,2059,7,,6598,2004,Elite Men
1833,5305,GBR,1017,0,3524,0,2060,8,,6601,2004,Elite Men
1833,5304,BRA,1032,0,3515,0,2056,9,,6604,2004,Elite Men
1833,5359,GBR,992,0,3545,0,2068,10,,6606,2004,Elite Men
1833,5349,BRA,1028,0,3515,0,2067,11,,6610,2004,Elite Men
1833,5587,SUI,1046,0,3498,0,2072,12,,6616,2004,Elite Men
1833,5677,FRA,1028,0,3511,0,2086,13,,6627,2004,Elite Men
1833,5823,POR,1015,0,3525,0,2093,14,,6633,2004,Elite Men
