program_id,athlete_id,country,swim,t1,bike,t2,run,position,status,total_time,year,category
1830,5401,GBR,1219,16,3710,20,2256,1,,7218,2004,Elite Women
1830,5568,AUS,1210,16,3720,19,2300,2,,7263,2004,Elite Women
1830,5388,CAN,1199,18,3732,20,2305,3,,7274,2004,Elite Women
1830,5517,AUS,1212,19,3715,19,2384,4,,7347,2004,Elite Women
1830,5467,CZE,1300,20,3882,17,2152,5,,7369,2004,Elite Women
1830,5378,CZE,1262,19,3923,18,2154,6,,7375,2004,Elite Women
1830,5424,GBR,1298,17,3889,25,2168,7,,7398,2004,Elite Women
1830,5576,JPN,1265,20,3918,19,2240,8,,7461,2004,Elite Women
1830,5386,CAN,1304,19,3885,21,2249,9,,7477,2004,Elite Women
1830,5476,CAN,1265,20,3919,23,2262,10,,7488,2004,Elite Women
1830,5532,JPN,1302,18,3885,19,2292,11,,7515,2004,Elite Women
1830,5550,CAN,1221,16,3709,28,2577,12,,7550,2004,Elite Women
1830,5403,NZL,1300,20,3885,23,2338,13,,7563,2004,Elite Women
1830,5414,CAN,1302,17,3886,20,2349,14,,7573,2004,Elite Women
1830,5501,AUS,1302,16,3882,20,2376,15,,7595,2004,Elite Women
1830,52648,CHN,1215,20,3720,20,2661,16,,7634,2004,Elite Women
1830,5566,JPN,1305,19,3881,24,2427,17,,7654,2004,Elite Women
1830,5906,KOR,1260,19,3928,21,2498,18,,7726,2004,Elite Women
1830,5487,JPN,1306,19,3878,20,2579,19,,7804,2004,Elite Women
1858,5388,CAN,1133,0,4207,0,2187,1,,7526,2003,Elite Women
1858,5375,USA,1131,0,4204,0,2225,2,,7559,2003,Elite Women
1858,5361,USA,1141,0,4199,0,2242,3,,7581,2003,Elite Women
1858,5395,BRA,1137,0,4205,0,2268,4,,7609,2003,Elite Women
1858,5362,BEL,1138,0,4207,0,2285,5,,7628,2003,Elite Women
1858,5363,ITA,1197,0,4399,0,2166,6,,7761,2003,Elite Women
1858,5386,CAN,1172,0,4431,0,2164,7,,7766,2003,Elite Women
1858,5370,ITA,1245,0,4348,0,2184,8,,7777,2003,Elite Women
1858,5449,AUS,1267,0,4340,0,2195,9,,7802,2003,Elite Women
1858,5383,CZE,1145,0,4460,0,2212,10,,7816,2003,Elite Women
1858,5372,SUI,1270,0,4320,0,2244,11,,7833,2003,Elite Women
1858,5371,NZL,1188,0,4401,0,2250,12,,7839,2003,Elite Women
1858,5400,CAN,1240,0,4363,0,2242,13,,7844,2003,Elite Women
1858,5373,ITA,1130,0,4371,0,2348,14,,7848,2003,Elite Women
1858,5416,ITA,1189,0,4404,0,2277,15,,7869,2003,Elite Women
1858,5374,BEL,1242,0,4349,0,2290,16,,7880,2003,Elite Women
1858,5476,CAN,1238,0,4362,0,2284,17,,7884,2003,Elite Women
1858,5413,USA,1173,0,4431,0,2290,18,,7893,2003,Elite Women
1858,5367,SUI,1170,0,4428,0,2301,19,,7899,2003,Elite Women
1858,5365,POR,1169,0,4422,0,2326,20,,7917,2003,Elite Women
1858,5406,AUT,1272,0,4321,0,2335,21,,7928,2003,Elite Women
1858,5930,AUS,1244,0,4360,0,2334,22,,7937,2003,Elite Women
1858,5414,CAN,1263,0,4328,0,2359,23,,7948,2003,Elite Women
1858,5558,USA,1245,0,4345,0,2374,24,,7964,2003,Elite Women
1858,5409,CAN,1268,0,4332,0,2368,25,,7967,2003,Elite Women
1858,5392,RUS,1135,0,4369,0,2483,26,,7986,2003,Elite Women
1858,5317,CAN,1269,0,4329,0,2442,27,,8038,2003,Elite Women
1858,5484,USA,1133,0,4274,0,2652,28,,8057,2003,Elite Women
1858,5913,FRA,1176,0,4423,0,2533,29,,8130,2003,Elite Women
1858,5579,USA,1313,0,4546,0,2322,30,,8180,2003,Elite Women
